sample	observation	segmentation	gaps	0	1	2	3	4	5	6	7	8	9
G62L_41_VIM_ant	observations/G62L_41_VIM_ant.tif	segmentations/G62L_41_VIM_ant.png	gaps/G62L_41_VIM_ant.png	train	train	test	train	train	train	val	train	train	train
G62L_41_VIM_lat	observations/G62L_41_VIM_lat.tif	segmentations/G62L_41_VIM_lat.png	gaps/G62L_41_VIM_lat.png	test	val	train	train	val	test	test	train	train	train
G62L_41_VIM_med	observations/G62L_41_VIM_med.tif	segmentations/G62L_41_VIM_med.png	gaps/G62L_41_VIM_med.png	train	train	test	val	train	train	train	train	train	train
G62L_41_VIM_post	observations/G62L_41_VIM_post.tif	segmentations/G62L_41_VIM_post.png	gaps/G62L_41_VIM_post.png	train	val	train	train	test	train	train	train	train	train
G62R_40_VIM_ant	observations/G62R_40_VIM_ant.tif	segmentations/G62R_40_VIM_ant.png	gaps/G62R_40_VIM_ant.png	test	train	train	train	train	test	train	test	train	train
G62R_40_VIM_lat	observations/G62R_40_VIM_lat.tif	segmentations/G62R_40_VIM_lat.png	gaps/G62R_40_VIM_lat.png	train	train	val	train	test	train	train	train	val	train
G62R_40_VIM_med	observations/G62R_40_VIM_med.tif	segmentations/G62R_40_VIM_med.png	gaps/G62R_40_VIM_med.png	train	train	train	train	train	train	train	train	val	train
G62R_40_VIM_post	observations/G62R_40_VIM_post.tif	segmentations/G62R_40_VIM_post.png	gaps/G62R_40_VIM_post.png	val	val	train	train	train	train	train	test	train	val
G64L_40_VIM_ant	observations/G64L_40_VIM_ant.tif	segmentations/G64L_40_VIM_ant.png	gaps/G64L_40_VIM_ant.png	val	train	train	test	val	train	train	train	val	train
G64L_40_VIM_lat	observations/G64L_40_VIM_lat.tif	segmentations/G64L_40_VIM_lat.png	gaps/G64L_40_VIM_lat.png	train	train	train	train	train	train	train	test	train	test
G64L_40_VIM_med	observations/G64L_40_VIM_med.tif	segmentations/G64L_40_VIM_med.png	gaps/G64L_40_VIM_med.png	train	train	train	train	train	train	val	train	train	train
G64L_40_VIM_post	observations/G64L_40_VIM_post.tif	segmentations/G64L_40_VIM_post.png	gaps/G64L_40_VIM_post.png	train	train	test	train	test	val	train	train	train	test
G64R_40_VIM_ant	observations/G64R_40_VIM_ant.tif	segmentations/G64R_40_VIM_ant.png	gaps/G64R_40_VIM_ant.png	test	train	train	train	val	train	train	train	train	train
G64R_40_VIM_lat	observations/G64R_40_VIM_lat.tif	segmentations/G64R_40_VIM_lat.png	gaps/G64R_40_VIM_lat.png	train	test	train	train	train	train	train	val	train	train
G64R_40_VIM_med	observations/G64R_40_VIM_med.tif	segmentations/G64R_40_VIM_med.png	gaps/G64R_40_VIM_med.png	train	train	train	train	train	val	test	train	train	test
G64R_40_VIM_post	observations/G64R_40_VIM_post.tif	segmentations/G64R_40_VIM_post.png	gaps/G64R_40_VIM_post.png	train	train	train	train	train	train	train	train	train	train
G67L_40_VIM_ant	observations/G67L_40_VIM_ant.tif	segmentations/G67L_40_VIM_ant.png	gaps/G67L_40_VIM_ant.png	train	test	train	val	train	train	val	val	train	train
G67L_40_VIM_lat	observations/G67L_40_VIM_lat.tif	segmentations/G67L_40_VIM_lat.png	gaps/G67L_40_VIM_lat.png	train	train	train	val	train	train	test	val	train	train
G67L_40_VIM_med	observations/G67L_40_VIM_med.tif	segmentations/G67L_40_VIM_med.png	gaps/G67L_40_VIM_med.png	train	train	train	test	train	train	train	train	test	train
G67L_40_VIM_post	observations/G67L_40_VIM_post.tif	segmentations/G67L_40_VIM_post.png	gaps/G67L_40_VIM_post.png	train	train	train	test	train	train	train	train	test	val
G67R_31_VIM_ant	observations/G67R_31_VIM_ant.tif	segmentations/G67R_31_VIM_ant.png	gaps/G67R_31_VIM_ant.png	train	test	train	train	train	val	train	train	train	train
G67R_31_VIM_lat	observations/G67R_31_VIM_lat.tif	segmentations/G67R_31_VIM_lat.png	gaps/G67R_31_VIM_lat.png	val	train	val	train	train	test	train	train	train	train
G67R_31_VIM_med	observations/G67R_31_VIM_med.tif	segmentations/G67R_31_VIM_med.png	gaps/G67R_31_VIM_med.png	train	train	val	train	train	train	train	train	test	train
G67R_31_VIM_post	observations/G67R_31_VIM_post.tif	segmentations/G67R_31_VIM_post.png	gaps/G67R_31_VIM_post.png	train	train	train	train	train	train	train	train	train	val
